Month,AOD_median,AOD_p25,AOD_p75,anio_actual
1,176.7352941,169.0791467,183.8821792,143.655507
2,157.0285714,152.0403226,163.2205132,127.637318
3,126.2731959,121.1563376,129.1199062,102.638469
4,116.6782609,113.9810951,118.7172979,94.839431
5,136.5944444,132.7387519,140.3288915,-9999.000000
6,111.25,107.5677171,114.6339286,-9999.000000
7,100.1470588,96.86641104,102.9396875,-9999.000000
8,91.88659794,89.26911157,94.16443701,-9999.000000
9,94.63823529,90.57462177,98.50455633,-9999.000000
10,94.84210526,91.54204819,100.96875,-9999.000000
11,116.0955882,109.3253012,121.7311024,-9999.000000
12,150.9,140.8746046,155.6501812,-9999.000000
