Year,Month,LST_mean
1997,1,37.953504
1997,2,-9999.000000
1997,3,-9999.000000
1997,4,-9999.000000
1997,5,-9999.000000
1997,6,10.423976
1997,7,-9999.000000
1997,8,12.926312
1997,9,20.340148
1997,10,28.040002
1997,11,31.206061
1997,12,-9999.000000
1998,1,-9999.000000
1998,2,32.112558
1998,3,-9999.000000
1998,4,-9999.000000
1998,5,-9999.000000
1998,6,13.133553
1998,7,14.627071
1998,8,14.729631
1998,9,-9999.000000
1998,10,32.320893
1998,11,36.365799
1998,12,39.512714
1999,1,34.379164
1999,2,35.263515
1999,3,-9999.000000
1999,4,22.789307
1999,5,10.937663
1999,6,-9999.000000
1999,7,12.926426
1999,8,13.158818
1999,9,-9999.000000
1999,10,26.395289
1999,11,31.833107
1999,12,37.317003
2000,1,35.432044
2000,2,34.008752
2000,3,29.021064
2000,4,17.426623
2000,5,10.330807
2000,6,15.431314
2000,7,12.308438
2000,8,17.640334
2000,9,22.976699
2000,10,27.647719
2000,11,37.285125
2000,12,35.988220
2001,1,33.668254
2001,2,31.131112
2001,3,31.313171
2001,4,19.844184
2001,5,15.488640
2001,6,13.462816
2001,7,-9999.000000
2001,8,-9999.000000
2001,9,20.213729
2001,10,27.033897
2001,11,37.448245
2001,12,33.210467
2002,1,33.505828
2002,2,34.130347
2002,3,30.783781
2002,4,-25.456273
2002,5,-9999.000000
2002,6,10.020164
2002,7,12.014220
2002,8,16.575415
2002,9,21.746886
2002,10,27.034149
2002,11,32.000734
2002,12,37.679876
2003,1,36.469318
2003,2,29.922698
2003,3,29.322502
2003,4,27.466073
2003,5,15.056918
2003,6,-9999.000000
2003,7,8.403650
2003,8,14.069026
2003,9,19.364391
2003,10,28.393996
2003,11,25.838525
2003,12,35.784921
2004,1,34.894701
2004,2,32.421911
2004,3,30.388684
2004,4,25.521893
2004,5,15.207167
2004,6,13.102137
2004,7,11.886459
2004,8,2.008265
2004,9,19.227158
2004,10,28.115857
2004,11,31.630323
2004,12,34.054758
2005,1,33.006170
2005,2,34.710520
2005,3,26.472370
2005,4,23.775208
2005,5,15.618101
2005,6,15.949237
2005,7,10.281227
2005,8,-9999.000000
2005,9,-9999.000000
2005,10,33.640635
2005,11,29.798039
2005,12,-9999.000000
2006,1,-9999.000000
2006,2,-9999.000000
2006,3,28.622413
2006,4,24.018533
2006,5,16.377536
2006,6,14.277927
2006,7,12.216855
2006,8,-9999.000000
2006,9,20.826320
2006,10,25.577989
2006,11,33.098993
2006,12,35.287953
2007,1,34.500029
2007,2,33.042277
2007,3,29.805270
2007,4,26.581462
2007,5,17.662670
2007,6,10.309068
2007,7,11.735986
2007,8,14.651614
2007,9,22.641422
2007,10,-9999.000000
2007,11,-9999.000000
2007,12,-9999.000000
2008,1,35.729948
2008,2,38.357747
2008,3,31.483652
2008,4,-9999.000000
2008,5,-9999.000000
2008,6,-9999.000000
2008,7,-9999.000000
2008,8,-9999.000000
2008,9,24.781442
2008,10,27.624850
2008,11,35.382039
2008,12,33.907059
2009,1,34.279463
2009,2,33.742004
2009,3,30.975192
2009,4,24.932693
2009,5,16.797711
2009,6,-9999.000000
2009,7,-9999.000000
2009,8,-9999.000000
