NOMBRE,Month,LST_mean,LST_p25,LST_p75,anio_actual
Calicheros,1.0,35.134407,33.676196,37.051843,35.726301
Belloto 2000,1.0,38.738594,37.006149,40.573249,38.759277
Belloto Centro,1.0,38.238055,36.856324,39.955361,38.206191
Bernando Ohiggins,1.0,37.621136,36.327926,39.418368,37.666676
Cruz del Sur,1.0,38.415880,36.164676,39.646174,38.374302
82,1.0,38.483138,37.086331,40.361063,38.281321
Belloto Norte,1.0,37.273860,35.715517,38.282962,37.359021
E.E.U.U,1.0,37.801750,36.091868,39.207807,37.509658
Lincoyan,1.0,37.856739,35.973318,39.022448,37.760568
Los Colonos,1.0,36.749909,35.206402,38.467256,36.252058
Patricio Lynch,1.0,37.983324,36.655795,39.544663,37.319078
Santa Marta,1.0,38.227855,36.808415,39.500694,37.512466
Cantera,1.0,38.502235,36.956111,40.105022,38.030591
Decimo Sector,1.0,37.361667,36.293370,38.666641,37.073974
Estero Viejo,1.0,38.193928,36.227383,39.541339,38.147496
Matilde,1.0,37.527539,35.943260,38.959681,36.414510
San Cristobal,1.0,37.484959,36.677635,39.087692,37.273858
Tierras Rojas,1.0,37.892837,36.279624,39.586321,37.367563
Decimo Sector,1.0,38.191538,36.998626,39.326311,36.998626
Matilde,1.0,37.798910,36.748415,40.031346,36.578343
Los Pinos,1.0,34.792043,33.246973,36.252395,34.811201
Marga Marga,1.0,35.820647,34.666354,37.046786,35.862071
60,1.0,37.804245,36.791186,39.233334,36.791186
Castillo Blanco,1.0,37.244593,35.731361,38.950807,37.168467
El Tranque,1.0,36.552775,34.973210,38.336014,36.788448
Jose Miguel Carrera,1.0,37.300437,36.523341,39.602489,37.189907
Las Rosas,1.0,36.917410,35.349497,38.449714,37.028110
Piloto Pardo,1.0,36.991032,35.247778,38.296176,36.780357
Porvenir,1.0,35.155149,33.478099,36.240899,34.669394
Textil Viña,1.0,37.411038,35.684622,39.066915,37.451476
21 de Mayo,1.0,35.803231,34.644509,37.390467,35.738814
Barros Arana,1.0,36.397113,34.595514,38.282918,36.598948
La Granja,1.0,36.821115,36.241645,38.297953,36.285191
Las Viñas,1.0,35.820529,35.316562,37.645700,35.609394
Los Estanques,1.0,35.625219,34.877835,37.144213,35.167006
Mena,1.0,36.411101,34.884301,38.110867,36.449926
Pedro Montt,1.0,36.026828,34.616873,37.887425,36.140916
Victoria Oriente,1.0,37.671541,37.127732,38.916160,37.070187
Victoria Poniente,1.0,36.245256,35.483836,38.002559,35.924472
Villa Olimpica,1.0,37.793438,37.136242,39.510954,37.735507
Araya,1.0,36.357308,35.050378,38.132923,36.367286
Arturo Prat,1.0,36.458462,34.814113,37.940839,36.432352
Blanco,1.0,36.443986,34.809736,38.230888,36.487151
Centro,1.0,36.736574,35.475261,38.611841,36.499937
Colina de Oro,1.0,33.187431,31.754028,34.576020,33.741441
El Esfuerzo,1.0,36.532569,34.976175,38.306270,37.019951
Emparte,1.0,36.391693,34.718496,37.454581,36.348372
Esmeralda,1.0,35.759723,34.264148,37.271472,34.729342
Liceo,1.0,36.479723,35.193758,38.254454,36.592702
Poblacion Esperanza,1.0,35.858810,34.278394,37.624750,36.318191
Poblacion Ferroviaria,1.0,37.077679,35.813588,39.115100,37.083530
R. Sotomayor,1.0,36.682639,35.359111,38.322028,36.632569
San Cristobal2,1.0,37.407499,35.971760,39.471006,38.209041
Sol del Pacifico,1.0,36.908750,35.167533,38.793170,37.722068
Soublete (Francisco Bilbao),1.0,35.890068,34.512287,37.895810,35.817618
Thompson,1.0,36.773199,35.653468,38.702420,36.502756
M. Mena,1.0,35.021305,34.153124,37.093091,35.015481
Manuel Rodriguez,1.0,35.541351,34.711341,37.561933,35.491069
No Organizada,1.0,33.544700,32.482833,35.352427,33.283932
Pompeya Norte,1.0,34.032800,33.331195,36.127356,34.033884
Pompeya Sur,1.0,34.897550,33.932467,36.082435,33.811206
Valencia Alto,1.0,34.603572,34.028234,37.014524,34.395488
Costa Sol,1.0,36.085409,34.747395,37.330118,33.037712
California,1.0,37.102191,36.079323,39.009666,36.978962
Camilo Henriquez,1.0,35.830418,34.589963,37.761529,36.447647
El Bosque,1.0,34.912073,32.932474,35.945635,35.059622
El Sol,1.0,35.262842,33.890637,37.156182,35.410620
General Baquedano,1.0,36.102801,34.509164,37.752894,36.210277
Infante,1.0,35.038885,33.829665,36.819819,35.001978
Lo Gamboa,1.0,37.878696,36.404974,39.627625,37.866709
Los Espinos,1.0,34.982341,32.884015,36.688856,35.375310
Retiro,1.0,35.264488,33.390785,36.860296,35.330472
Viñas del Sol,1.0,35.462374,33.536135,37.173275,36.033261
Buenos Aires,1.0,35.738408,34.286163,37.512297,35.865423
Casa de Valencia,1.0,35.201066,33.991218,36.532139,34.901573
Hevia,1.0,35.393385,34.672421,37.307892,35.160822
Humbolt,1.0,34.904979,33.681397,36.716131,34.840343
Phillips,1.0,35.075625,33.746877,36.778965,35.208328
Poblacion Argentina,1.0,33.036125,32.106559,34.601499,32.211508
Poblacion Canal Chacao,1.0,34.934465,34.103771,36.266211,35.629044
San Gregorio,1.0,36.068488,35.167404,37.789545,35.844127
Valencia Bajo,1.0,35.281369,34.251012,37.326561,35.155275
Villa Paso Hondo,1.0,34.050146,33.113481,35.779841,33.838309
Calicheros,2.0,33.735266,32.991641,35.514212,38.033024
Belloto 2000,2.0,37.576152,36.256115,38.381922,40.171556
Belloto Centro,2.0,36.932461,35.798443,37.628769,39.732666
Bernando Ohiggins,2.0,36.306074,35.047319,37.209412,38.732614
Cruz del Sur,2.0,36.956808,35.563129,37.515252,39.288169
82,2.0,37.577078,36.212077,38.271368,40.369991
Belloto Norte,2.0,35.696533,34.544850,36.151733,38.234206
E.E.U.U,2.0,36.340970,34.888977,37.275557,38.542474
Lincoyan,2.0,36.216763,35.071337,36.683569,38.975278
Los Colonos,2.0,35.347727,33.533525,36.496121,37.793744
Patricio Lynch,2.0,36.588451,34.905274,37.490727,38.736107
Santa Marta,2.0,36.786009,35.243451,37.715702,38.697970
Cantera,2.0,37.076058,35.535498,37.765433,38.911515
Decimo Sector,2.0,35.895512,34.426792,36.912313,37.869360
Estero Viejo,2.0,36.511555,35.347546,37.158850,38.876073
Matilde,2.0,36.210931,34.193795,36.834710,37.621069
San Cristobal,2.0,36.068570,34.436035,36.872301,37.996846
Tierras Rojas,2.0,36.645994,35.290364,37.347473,38.557916
Decimo Sector,2.0,36.393777,35.207698,37.745800,37.745800
Matilde,2.0,36.646485,34.829984,37.494668,37.677462
Los Pinos,2.0,33.241965,32.006040,34.522947,36.222884
Marga Marga,2.0,34.217514,33.043649,35.154995,36.901406
60,2.0,36.288072,35.134459,37.130763,37.537277
Castillo Blanco,2.0,36.192619,34.966772,36.729435,38.511224
El Tranque,2.0,35.371161,34.087983,36.367765,38.192365
Jose Miguel Carrera,2.0,35.967397,34.870753,37.151006,38.646221
Las Rosas,2.0,35.431932,34.649063,36.368108,37.996116
Piloto Pardo,2.0,35.484377,34.269996,36.133383,37.753014
Porvenir,2.0,33.781839,31.917771,34.917821,36.655049
Textil Viña,2.0,36.115289,34.768298,36.722631,38.224712
21 de Mayo,2.0,34.504261,33.845933,35.544797,38.380016
Barros Arana,2.0,34.527242,33.913356,35.834017,38.446236
La Granja,2.0,35.755130,34.553025,36.899725,38.551352
Las Viñas,2.0,34.624166,34.038396,36.165472,37.787400
Los Estanques,2.0,34.542995,33.655982,35.364317,37.690947
Mena,2.0,34.754030,34.101612,35.745317,38.162361
Pedro Montt,2.0,34.685362,33.985909,36.001054,38.159815
Victoria Oriente,2.0,36.495124,35.451931,37.892205,38.382422
Victoria Poniente,2.0,34.999879,34.028087,36.135745,37.516473
Villa Olimpica,2.0,36.357031,35.617889,37.899495,39.478923
Araya,2.0,35.057088,34.016138,36.265832,38.079839
Arturo Prat,2.0,34.681796,33.806995,35.804657,38.050240
Blanco,2.0,34.765456,33.623266,35.902163,38.300076
Centro,2.0,35.282303,33.886324,36.045590,38.410904
Colina de Oro,2.0,32.026043,30.986126,33.033786,35.533509
El Esfuerzo,2.0,35.180671,34.584405,36.159416,37.919044
Emparte,2.0,34.686352,33.650685,35.411410,38.090442
Esmeralda,2.0,34.020083,33.163335,35.405872,36.606218
Liceo,2.0,34.911593,33.949272,36.183050,38.329931
Poblacion Esperanza,2.0,34.401433,33.451517,35.348373,37.812720
Poblacion Ferroviaria,2.0,35.756393,34.652250,36.984326,38.803771
R. Sotomayor,2.0,35.128719,34.081750,36.344949,38.123585
San Cristobal2,2.0,36.189529,35.262256,37.323756,39.471210
Sol del Pacifico,2.0,35.593284,34.640018,36.087960,38.242478
Soublete (Francisco Bilbao),2.0,34.635212,33.511643,35.787766,37.714761
Thompson,2.0,35.329332,34.173044,36.448179,38.337378
M. Mena,2.0,33.881536,32.875730,34.927932,37.683030
Manuel Rodriguez,2.0,34.576688,33.780356,35.644289,37.989115
No Organizada,2.0,32.779717,31.689167,33.933811,35.476246
Pompeya Norte,2.0,32.998130,31.933089,34.376069,36.001516
Pompeya Sur,2.0,33.625222,32.538365,34.929152,36.088136
Valencia Alto,2.0,34.003757,32.909136,34.964530,37.335783
Costa Sol,2.0,34.456851,32.609417,35.739776,35.067542
California,2.0,35.687117,34.538619,36.838342,38.558198
Camilo Henriquez,2.0,34.712278,33.086821,35.854901,37.468854
El Bosque,2.0,33.585116,31.688795,34.265588,36.726295
El Sol,2.0,34.026323,32.879636,35.274862,37.413580
General Baquedano,2.0,34.693309,33.536364,35.855440,38.027978
Infante,2.0,33.745647,32.366068,34.987124,37.421894
Lo Gamboa,2.0,36.791855,35.139525,37.531387,39.559737
Los Espinos,2.0,33.527217,32.342391,34.343806,36.588349
Retiro,2.0,33.718683,32.442043,34.747269,37.321096
Viñas del Sol,2.0,34.202839,32.658316,34.710545,37.332383
Buenos Aires,2.0,34.264107,33.314029,35.343053,38.507551
Casa de Valencia,2.0,33.518041,32.559323,34.611998,37.685335
Hevia,2.0,34.693070,33.262071,35.336835,38.788432
Humbolt,2.0,33.815417,32.682853,34.685195,37.564943
Phillips,2.0,33.889089,33.088697,34.998880,38.282134
Poblacion Argentina,2.0,31.708171,30.488647,32.920930,34.926141
Poblacion Canal Chacao,2.0,33.414029,32.417256,34.794366,38.334231
San Gregorio,2.0,34.856927,33.708380,35.682351,39.004221
Valencia Bajo,2.0,34.376200,33.302023,35.349312,38.443367
Villa Paso Hondo,2.0,32.481898,31.331534,33.785124,35.560517
Calicheros,3.0,30.256754,29.043164,31.245693,31.288998
Belloto 2000,3.0,33.304400,31.735970,34.114001,34.404174
Belloto Centro,3.0,32.759793,30.884866,33.688883,33.687604
Bernando Ohiggins,3.0,32.027120,30.642825,32.932332,32.780127
Cruz del Sur,3.0,32.855636,30.725720,33.338426,33.338426
82,3.0,33.898466,32.216875,34.202065,34.266948
Belloto Norte,3.0,31.307413,29.805821,32.059121,32.024658
E.E.U.U,3.0,32.150676,30.972012,32.915055,32.017628
