Year,NOMBRE,LST_mean,LST_p25,LST_p75
1997,Calicheros,23.351698,22.132669,24.570728
1997,Belloto 2000,27.391095,26.641689,28.140501
1997,Belloto Centro,27.718197,26.841990,28.594405
1997,Bernando Ohiggins,26.318350,25.159083,27.477616
1997,Cruz del Sur,27.472966,26.808594,28.137338
1997,82,27.198761,26.080127,28.317396
1997,Belloto Norte,26.015410,25.350661,26.680159
1997,E.E.U.U,25.055900,23.606352,26.505447
1997,Lincoyan,26.529281,25.968584,27.089979
1997,Los Colonos,24.139373,22.813329,25.465416
1997,Patricio Lynch,25.366371,23.969457,26.763286
1997,Santa Marta,25.151055,23.908017,26.394092
1997,Cantera,27.551723,27.067443,28.036003
1997,Decimo Sector,26.590386,26.089153,27.091618
1997,Estero Viejo,27.344906,26.591748,28.098064
1997,Matilde,25.116083,24.202248,26.029918
1997,San Cristobal,25.613045,24.571676,26.654415
1997,Tierras Rojas,27.311863,26.212118,28.411607
1997,Decimo Sector,25.368060,23.908370,26.827750
1997,Matilde,24.905724,24.180105,25.631343
1997,Los Pinos,23.392875,21.749711,25.036038
1997,Marga Marga,23.847690,22.619074,25.076307
1997,60,23.870039,22.882864,24.857214
1997,Castillo Blanco,26.375872,25.495991,27.255753
1997,El Tranque,26.189368,25.615319,26.763417
1997,Jose Miguel Carrera,26.040520,25.524464,26.556577
1997,Las Rosas,26.703424,26.301087,27.105761
1997,Piloto Pardo,26.130369,25.544920,26.715818
1997,Porvenir,23.132801,22.124311,24.141290
1997,Textil Viña,26.061599,25.803664,26.319533
1997,21 de Mayo,26.327336,25.772753,26.881918
1997,Barros Arana,28.047901,27.521219,28.574583
1997,La Granja,25.895618,25.309494,26.481742
1997,Las Viñas,25.699027,25.103089,26.294964
1997,Los Estanques,25.117242,24.529037,25.705447
1997,Mena,27.537243,26.968188,28.106297
1997,Pedro Montt,26.920711,26.233226,27.608197
1997,Victoria Oriente,26.261719,25.725387,26.798052
1997,Victoria Poniente,25.547757,24.314049,26.781465
1997,Villa Olimpica,25.848112,25.259687,26.436537
1997,Araya,27.343824,26.828303,27.859346
1997,Arturo Prat,28.464494,27.879059,29.049929
1997,Blanco,28.175841,26.699984,29.651698
1997,Centro,28.794587,27.802661,29.786512
1997,Colina de Oro,22.955538,21.161216,24.749861
1997,El Esfuerzo,25.913521,25.668101,26.158940
1997,Emparte,28.421440,28.021105,28.821776
1997,Esmeralda,26.655155,26.325254,26.985055
1997,Liceo,27.621271,27.087274,28.155269
1997,Poblacion Esperanza,26.111174,25.104797,27.117551
1997,Poblacion Ferroviaria,26.818081,26.198601,27.437562
1997,R. Sotomayor,27.067371,25.729963,28.404778
1997,San Cristobal2,25.737673,24.723437,26.751910
1997,Sol del Pacifico,26.136890,25.561730,26.712051
1997,Soublete (Francisco Bilbao),27.666188,27.046115,28.286261
1997,Thompson,29.077632,28.133108,30.022155
1997,M. Mena,25.066206,24.416705,25.715706
1997,Manuel Rodriguez,25.096938,24.617522,25.576353
1997,No Organizada,23.765743,22.314889,25.216596
1997,Pompeya Norte,23.936704,22.806915,25.066494
1997,Pompeya Sur,24.777855,23.871866,25.683843
1997,Valencia Alto,25.447842,25.066312,25.829372
1997,Costa Sol,24.919825,24.050647,25.789003
1997,California,29.061892,28.666256,29.457528
1997,Camilo Henriquez,25.775061,25.160034,26.390089
1997,El Bosque,23.334443,21.944078,24.724809
1997,El Sol,26.824269,25.975249,27.673288
1997,General Baquedano,27.246453,26.300010,28.192895
1997,Infante,26.016486,24.807692,27.225280
1997,Lo Gamboa,28.781834,28.483191,29.080477
1997,Los Espinos,25.896597,24.938394,26.854799
1997,Retiro,25.414034,24.620532,26.207536
1997,Viñas del Sol,24.960940,23.817557,26.104324
1997,Buenos Aires,26.880952,26.311781,27.450124
1997,Casa de Valencia,25.593630,24.547610,26.639651
1997,Hevia,27.498228,27.058665,27.937791
1997,Humbolt,25.774677,24.703647,26.845708
1997,Phillips,26.318162,25.673813,26.962510
1997,Poblacion Argentina,24.671271,23.655332,25.687210
1997,Poblacion Canal Chacao,25.430875,24.273891,26.587858
1997,San Gregorio,28.027312,27.427105,28.627519
1997,Valencia Bajo,26.524494,25.813478,27.235511
1997,Villa Paso Hondo,23.465101,21.924314,25.005889
1998,Calicheros,31.816335,29.842068,33.790601
1998,Belloto 2000,32.280030,31.411640,33.148420
1998,Belloto Centro,31.787085,31.221752,32.352419
1998,Bernando Ohiggins,32.892211,31.462197,34.322225
1998,Cruz del Sur,31.718267,31.262257,32.174277
1998,82,33.894280,31.969387,35.819172
1998,Belloto Norte,31.345162,30.713009,31.977315
1998,E.E.U.U,33.429385,32.470512,34.388258
1998,Lincoyan,32.258869,30.854999,33.662739
1998,Los Colonos,32.731415,31.175559,34.287272
1998,Patricio Lynch,33.199329,31.428059,34.970599
1998,Santa Marta,33.724266,32.901874,34.546659
1998,Cantera,33.181860,32.682771,33.680948
1998,Decimo Sector,32.844099,32.033384,33.654815
1998,Estero Viejo,32.043011,31.343183,32.742838
1998,Matilde,33.233736,32.077172,34.390300
1998,San Cristobal,33.287193,31.976173,34.598213
1998,Tierras Rojas,31.822781,31.196127,32.449435
1998,Decimo Sector,34.475181,32.381644,36.568718
1998,Matilde,33.369025,32.023606,34.714443
1998,Los Pinos,31.817142,29.465316,34.168968
1998,Marga Marga,32.465170,30.337483,34.592856
1998,60,33.404940,31.965009,34.844871
1998,Castillo Blanco,32.640417,31.979287,33.301547
1998,El Tranque,32.203874,31.797163,32.610584
1998,Jose Miguel Carrera,33.175278,32.193251,34.157305
1998,Las Rosas,31.751214,31.171320,32.331109
1998,Piloto Pardo,31.862623,31.392127,32.333120
1998,Porvenir,32.030428,30.467863,33.592994
1998,Textil Viña,31.918093,31.528466,32.307720
1998,21 de Mayo,31.894309,31.134429,32.654189
1998,Barros Arana,30.780992,30.301779,31.260205
1998,La Granja,34.139142,33.014373,35.263910
1998,Las Viñas,33.854286,32.950720,34.757851
1998,Los Estanques,32.133590,30.160120,34.107060
1998,Mena,31.914108,30.713543,33.114672
1998,Pedro Montt,31.052779,30.587171,31.518387
1998,Victoria Oriente,35.221014,33.881856,36.560173
1998,Victoria Poniente,32.893824,32.383379,33.404270
1998,Villa Olimpica,32.949833,31.912236,33.987430
1998,Araya,31.679954,31.211474,32.148434
1998,Arturo Prat,30.476560,29.736040,31.217079
1998,Blanco,31.827640,31.099317,32.555963
1998,Centro,31.988215,30.955903,33.020527
1998,Colina de Oro,30.281281,28.217584,32.344979
1998,El Esfuerzo,31.469636,31.176792,31.762480
1998,Emparte,30.018938,29.765150,30.272726
1998,Esmeralda,30.800512,30.331711,31.269314
1998,Liceo,31.296878,30.816436,31.777321
1998,Poblacion Esperanza,31.123857,30.286739,31.960974
1998,Poblacion Ferroviaria,32.769294,31.887719,33.650869
1998,R. Sotomayor,32.442600,31.554371,33.330828
1998,San Cristobal2,33.345126,31.710152,34.980099
1998,Sol del Pacifico,31.761193,31.197680,32.324707
1998,Soublete (Francisco Bilbao),31.540973,31.231138,31.850809
1998,Thompson,31.955509,31.001780,32.909239
1998,M. Mena,29.487907,28.643273,30.332541
