Month,NDVI_Gestion,NDVI_Planificacion,NDVI_Urbano,NDVI_Gestion_anio_actual,NDVI_Planificacion_anio_actual,NDVI_Urbano_anio_actual
1.0,0.21,0.21,0.23,-9999.00,-9999.00,-9999.00
2.0,0.21,0.22,0.22,-9999.00,-9999.00,-9999.00
3.0,0.21,0.21,0.22,-9999.00,-9999.00,-9999.00
4.0,0.19,0.21,0.21,-9999.00,-9999.00,-9999.00
5.0,0.17,0.19,0.19,-9999.00,-9999.00,-9999.00
6.0,0.19,0.22,0.22,-9999.00,-9999.00,-9999.00
7.0,0.21,0.25,0.27,-9999.00,-9999.00,-9999.00
8.0,0.23,0.28,0.33,-9999.00,-9999.00,-9999.00
9.0,0.23,0.28,0.35,-9999.00,-9999.00,-9999.00
10.0,0.24,0.26,0.34,-9999.00,-9999.00,-9999.00
11.0,0.23,0.24,0.28,-9999.00,-9999.00,-9999.00
12.0,0.23,0.24,0.28,-9999.00,-9999.00,-9999.00
