NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Calicheros,1.0,0.2212,0.1795,0.2304,0.2278
Belloto 2000,1.0,0.1107,0.0987,0.1136,0.1125
Belloto Centro,1.0,0.1237,0.1079,0.1289,0.1289
Bernando Ohiggins,1.0,0.1373,0.1211,0.1439,0.1439
Cruz del Sur,1.0,0.1184,0.1054,0.1249,0.1237
82,1.0,0.1474,0.1270,0.1626,0.1633
Belloto Norte,1.0,0.1600,0.1450,0.1694,0.1694
E.E.U.U,1.0,0.1599,0.1300,0.1700,0.1700
Lincoyan,1.0,0.1547,0.1370,0.1629,0.1619
Los Colonos,1.0,0.2266,0.1872,0.2466,0.2466
Patricio Lynch,1.0,0.2089,0.1759,0.2180,0.2180
Santa Marta,1.0,0.2025,0.1710,0.2115,0.2106
Cantera,1.0,0.1099,0.1015,0.1159,0.1131
Decimo Sector,1.0,0.1274,0.1118,0.1388,0.1388
Estero Viejo,1.0,0.1191,0.1048,0.1256,0.1256
Matilde,1.0,0.1348,0.1193,0.1483,0.1483
San Cristobal,1.0,0.1566,0.1411,0.1643,0.1643
Tierras Rojas,1.0,0.1322,0.1208,0.1389,0.1409
Decimo Sector,1.0,0.1345,0.1174,0.1493,0.1488
Matilde,1.0,0.1389,0.1053,0.1719,0.1719
Los Pinos,1.0,0.2163,0.1707,0.2418,0.2418
Marga Marga,1.0,0.1966,0.1655,0.2144,0.2144
60,1.0,0.1371,0.1161,0.1569,0.1620
Castillo Blanco,1.0,0.1333,0.1197,0.1380,0.1380
El Tranque,1.0,0.1689,0.1553,0.1820,0.1751
Jose Miguel Carrera,1.0,0.1314,0.1191,0.1438,0.1438
Las Rosas,1.0,0.1366,0.1242,0.1446,0.1396
Piloto Pardo,1.0,0.1539,0.1436,0.1608,0.1608
Porvenir,1.0,0.2415,0.1978,0.2722,0.2722
Textil Viña,1.0,0.1131,0.1051,0.1179,0.1179
21 de Mayo,1.0,0.1579,0.1402,0.1822,0.1822
Barros Arana,1.0,0.1753,0.1596,0.1855,0.1841
La Granja,1.0,0.1692,0.1534,0.1837,0.1837
Las Viñas,1.0,0.1818,0.1669,0.1975,0.1996
Los Estanques,1.0,0.1546,0.1459,0.1739,0.1739
Mena,1.0,0.1671,0.1431,0.1793,0.1793
Pedro Montt,1.0,0.1514,0.1335,0.1607,0.1591
Victoria Oriente,1.0,0.1333,0.1192,0.1464,0.1464
Victoria Poniente,1.0,0.1591,0.1431,0.1680,0.1680
Villa Olimpica,1.0,0.1338,0.1120,0.1365,0.1361
Araya,1.0,0.1532,0.1351,0.1616,0.1587
Arturo Prat,1.0,0.1416,0.1281,0.1455,0.1411
Blanco,1.0,0.1592,0.1421,0.1720,0.1720
Centro,1.0,0.1408,0.1209,0.1468,0.1423
Colina de Oro,1.0,0.2661,0.2347,0.2763,0.2763
El Esfuerzo,1.0,0.1476,0.1351,0.1627,0.1609
Emparte,1.0,0.0984,0.0939,0.1037,0.1165
Esmeralda,1.0,0.1632,0.1477,0.1682,0.1668
Liceo,1.0,0.1468,0.1299,0.1556,0.1556
Poblacion Esperanza,1.0,0.1733,0.1557,0.1857,0.1811
Poblacion Ferroviaria,1.0,0.1703,0.1491,0.1748,0.1725
R. Sotomayor,1.0,0.1557,0.1342,0.1635,0.1599
San Cristobal2,1.0,0.1670,0.1395,0.1755,0.1742
Sol del Pacifico,1.0,0.1451,0.1325,0.1561,0.1561
Soublete (Francisco Bilbao),1.0,0.1538,0.1383,0.1618,0.1618
Thompson,1.0,0.1310,0.1121,0.1347,0.1347
M. Mena,1.0,0.1337,0.1190,0.1417,0.1417
Manuel Rodriguez,1.0,0.1344,0.1151,0.1373,0.1373
No Organizada,1.0,0.2241,0.1823,0.2557,0.2494
Pompeya Norte,1.0,0.1591,0.1506,0.1747,0.1607
Pompeya Sur,1.0,0.1676,0.1565,0.1812,0.1695
Valencia Alto,1.0,0.1329,0.1210,0.1428,0.1401
Costa Sol,1.0,0.0939,0.0900,0.1085,0.0944
California,1.0,0.1308,0.1223,0.1343,0.1314
Camilo Henriquez,1.0,0.1586,0.1419,0.1692,0.1692
El Bosque,1.0,0.3112,0.2415,0.3394,0.3394
El Sol,1.0,0.2634,0.2420,0.2773,0.2773
General Baquedano,1.0,0.1711,0.1517,0.1799,0.1799
Infante,1.0,0.2295,0.2035,0.2613,0.2613
Lo Gamboa,1.0,0.1349,0.1191,0.1398,0.1369
Los Espinos,1.0,0.2263,0.2025,0.2450,0.2450
Retiro,1.0,0.2276,0.1962,0.2434,0.2434
Viñas del Sol,1.0,0.2162,0.1848,0.2318,0.2318
Buenos Aires,1.0,0.1678,0.1435,0.1815,0.1781
Casa de Valencia,1.0,0.2133,0.1665,0.2230,0.2226
Hevia,1.0,0.1497,0.1253,0.1590,0.1581
Humbolt,1.0,0.1784,0.1684,0.2022,0.2022
Phillips,1.0,0.1516,0.1376,0.1644,0.1644
Poblacion Argentina,1.0,0.2179,0.1900,0.2489,0.2095
Poblacion Canal Chacao,1.0,0.2340,0.2113,0.2716,0.2458
San Gregorio,1.0,0.1291,0.1180,0.1389,0.1347
Valencia Bajo,1.0,0.1554,0.1311,0.1650,0.1641
Villa Paso Hondo,1.0,0.2698,0.2165,0.2880,0.2880
