MANZENT,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
5801121002008,1.0,0.0897,0.0778,0.1042,0.0813
5801021004023,1.0,0.1426,0.1335,0.1525,0.1335
5801011001011,1.0,0.1764,0.1671,0.1882,0.1687
5801011005026,1.0,0.0913,0.0811,0.1033,0.1013
5801101003063,1.0,0.0842,0.0729,0.0948,0.1061
5801081002023,1.0,0.3102,0.2607,0.3251,0.3036
5801101003029,1.0,0.1101,0.1026,0.1197,0.1197
5801121002004,1.0,0.1674,0.1367,0.1890,0.1882
5801121007039,1.0,0.0592,0.0490,0.0647,0.0364
5801121007037,1.0,0.0977,0.0855,0.1017,0.1017
5801081001006,1.0,0.1074,0.0841,0.1343,0.1344
5801101003064,1.0,0.1549,0.1224,0.1690,0.1745
5801021003028,1.0,0.0989,0.0942,0.1145,0.0942
5801101002014,1.0,0.2165,0.2009,0.2305,0.2221
5801011004031,1.0,0.1322,0.1247,0.1689,0.1244
5801101001054,1.0,0.1335,0.1074,0.1492,0.1074
5801081005010,1.0,0.1572,0.1461,0.1748,0.1360
5801021003022,1.0,0.1236,0.1200,0.1287,0.1225
5801091004041,1.0,0.0533,0.0486,0.0670,0.0497
5801081004073,1.0,0.1298,0.1107,0.1392,0.1363
5801081005030,1.0,0.1511,0.1233,0.1764,0.1233
5801091004056,1.0,0.1276,0.1172,0.1428,0.1513
5801091004046,1.0,0.0532,0.0444,0.0541,0.0541
5801011003017,1.0,0.1869,0.1474,0.2099,0.2099
5801081004012,1.0,0.1854,0.1398,0.1988,0.1925
5801091002008,1.0,0.0663,0.0577,0.0745,0.0577
5801091001037,1.0,0.1736,0.1601,0.1850,0.1836
5801111001014,1.0,0.1216,0.1045,0.1359,0.1259
5801081004042,1.0,0.1732,0.1566,0.1817,0.1759
5801021002042,1.0,0.0567,0.0485,0.0673,0.0509
5801031001005,1.0,0.2074,0.1714,0.2124,0.2111
5801121004035,1.0,0.1937,0.1282,0.2203,0.2313
5801101002501,1.0,0.1237,0.1017,0.1326,0.1251
5801011003054,1.0,0.1213,0.1021,0.1299,0.1304
5801091001021,1.0,0.1200,0.0975,0.1379,0.1472
5801081005006,1.0,0.0661,0.0593,0.0778,0.0788
5801021003040,1.0,0.1224,0.1099,0.1292,0.1339
5801021004008,1.0,0.2012,0.1731,0.2109,0.2083
5801121007019,1.0,0.1401,0.1322,0.1448,0.1322
5801011002901,1.0,0.1110,0.0912,0.1183,0.1189
5801011002901,1.0,0.2688,0.2015,0.3055,0.3055
5801101001024,1.0,0.1492,0.1284,0.1619,0.1619
5801101003001,1.0,0.3017,0.2816,0.3309,0.3491
5801101001060,1.0,0.1478,0.1329,0.1611,0.1732
5801081005051,1.0,0.0836,0.0783,0.0996,0.0996
5801091005018,1.0,0.2540,0.2366,0.2695,0.2504
5801091002007,1.0,0.0377,0.0309,0.0666,0.0427
5801081004013,1.0,0.1259,0.1064,0.1303,0.1465
5801081004028,1.0,0.1413,0.1241,0.1594,0.1739
5801091001051,1.0,0.1608,0.1563,0.1762,0.1588
5801081003056,1.0,0.0805,0.0753,0.0962,0.0843
5801081004038,1.0,0.1677,0.1324,0.1759,0.1742
5801081004041,1.0,0.1283,0.1053,0.1435,0.1435
5801021003037,1.0,0.1058,0.0909,0.1113,0.1104
5801021002043,1.0,0.0910,0.0720,0.0966,0.0995
5801121004004,1.0,0.1545,0.1483,0.1579,0.1483
5801031001007,1.0,0.2327,0.1996,0.2476,0.2291
5801121004033,1.0,0.1574,0.1293,0.1881,0.1935
5801101001003,1.0,0.3399,0.2892,0.3621,0.3707
5801101001004,1.0,0.2897,0.2365,0.3134,0.3046
5801091001901,1.0,0.2242,0.2061,0.2296,0.2111
5801091001901,1.0,0.2354,0.1841,0.2572,0.2684
5801091002901,1.0,0.0966,0.0857,0.1004,0.1175
5801091002901,1.0,0.0412,0.0323,0.0450,0.0395
5801101003901,1.0,0.0871,0.0781,0.0976,0.0985
5801101003901,1.0,0.1473,0.1329,0.1564,0.1912
5801101003901,1.0,0.2504,0.2322,0.2706,0.2933
5801101001003,1.0,0.3083,0.2562,0.3378,0.3378
5801101001036,1.0,0.2038,0.1729,0.2421,0.2505
5801121002029,1.0,0.1347,0.1243,0.1504,0.1243
5801121003033,1.0,0.1596,0.1300,0.1793,0.1662
5801011004901,1.0,0.1310,0.1216,0.1423,0.1499
5801011004901,1.0,0.1212,0.1078,0.1340,0.1160
5801011004901,1.0,0.2334,0.2071,0.2666,0.2666
5801081001033,1.0,0.2954,0.2821,0.3103,0.2869
5801011002011,1.0,0.1466,0.1322,0.1620,0.1504
5801121003002,1.0,0.1284,0.1169,0.1397,0.1379
5801021001018,1.0,0.0989,0.0855,0.1080,0.1109
5801121001028,1.0,0.1274,0.1173,0.1408,0.1408
5801081003055,1.0,0.0647,0.0577,0.0747,0.0575
5801091005901,1.0,0.0794,0.0695,0.0818,0.0883
5801091005901,1.0,0.0729,0.0630,0.0809,0.0890
5801011001010,1.0,0.2381,0.2255,0.2443,0.2247
5801011001016,1.0,0.3118,0.2538,0.3379,0.3379
5801011004057,1.0,0.2515,0.2202,0.2813,0.2813
5801101001061,1.0,0.1878,0.1739,0.2037,0.1862
5801081001021,1.0,0.2185,0.1816,0.2444,0.1927
5801081001026,1.0,0.1876,0.1737,0.2136,0.1789
5801101003053,1.0,0.1246,0.1195,0.1370,0.1198
5801121002021,1.0,0.1240,0.1128,0.1330,0.1247
5801081004079,1.0,0.1421,0.1287,0.1565,0.1500
5801081004075,1.0,0.1279,0.1166,0.1366,0.1233
5801081005500,1.0,0.2512,0.1863,0.2982,0.2840
5801021002009,1.0,0.0802,0.0711,0.0965,0.0803
5801121001015,1.0,0.0670,0.0602,0.0708,0.0642
5801091001041,1.0,0.1624,0.1458,0.1736,0.1736
5801111001013,1.0,0.1119,0.0997,0.1223,0.1223
5801091001038,1.0,0.1362,0.1253,0.1486,0.1498
5801081004019,1.0,0.2225,0.2041,0.2479,0.2372
5801111001016,1.0,0.1716,0.1580,0.1992,0.2046
5801081004051,1.0,0.1122,0.1025,0.1248,0.1247
5801021003026,1.0,0.0762,0.0702,0.0817,0.0835
5801121003040,1.0,0.1598,0.1259,0.1767,0.1767
5801121007027,1.0,0.1418,0.1212,0.1448,0.1448
5801081001004,1.0,0.1015,0.0887,0.1096,0.0911
5801021002050,1.0,0.0966,0.0916,0.1025,0.1089
5801101001049,1.0,0.1451,0.1275,0.1509,0.1509
5801011002010,1.0,0.1815,0.1730,0.1971,0.1762
5801081005029,1.0,0.1557,0.1429,0.2137,0.1494
5801101004041,1.0,0.1059,0.0914,0.1161,0.1095
5801011005019,1.0,0.1760,0.1512,0.2005,0.2005
5801101002030,1.0,0.0921,0.0856,0.1018,0.1018
5801091007037,1.0,0.1190,0.1144,0.1355,0.1370
5801121002023,1.0,0.1078,0.0947,0.1220,0.1220
5801111003009,1.0,0.0886,0.0735,0.0966,0.0966
5801121001022,1.0,0.0645,0.0581,0.0722,0.0658
5801091003009,1.0,0.1607,0.1452,0.1676,0.1611
5801111002023,1.0,0.1893,0.1666,0.1978,0.1935
5801091002016,1.0,0.1401,0.1244,0.1510,0.1405
5801021002049,1.0,0.0867,0.0790,0.0930,0.0930
5801121004001,1.0,0.1338,0.1211,0.1513,0.1351
5801021004047,1.0,0.1828,0.1599,0.1924,0.1918
5801011002501,1.0,0.1937,0.1685,0.2045,0.1964
5801081002503,1.0,0.1052,0.0935,0.1088,0.1077
5801121003500,1.0,0.1360,0.1333,0.1426,0.1360
5801101002005,1.0,0.1106,0.0910,0.1280,0.1388
5801101001048,1.0,0.1530,0.1439,0.1755,0.1755
5801011005013,1.0,0.1302,0.1106,0.1416,0.1449
5801101003002,1.0,0.1644,0.1539,0.1703,0.1640
5801081004068,1.0,0.1805,0.1503,0.1879,0.1841
5801091004029,1.0,0.0669,0.0550,0.0779,0.0665
5801091005047,1.0,0.1143,0.1058,0.1184,0.1144
5801081003063,1.0,0.0982,0.0905,0.1097,0.0939
5801091005038,1.0,0.1457,0.1264,0.1559,0.1548
5801111002035,1.0,0.1176,0.1048,0.1238,0.1226
5801121008019,1.0,0.1200,0.1171,0.1338,0.1338
5801021004024,1.0,0.1432,0.1226,0.1535,0.1764
5801091004500,1.0,0.1477,0.1279,0.1646,0.1570
5801121008501,1.0,0.1464,0.1318,0.1596,0.1596
5801011001017,1.0,0.3325,0.2693,0.3429,0.3411
5801011003015,1.0,0.1320,0.1263,0.1471,0.1341
5801121007038,1.0,0.1259,0.1132,0.1397,0.1397
5801101003038,1.0,0.1051,0.0896,0.1101,0.1057
5801081003040,1.0,0.1403,0.1204,0.1524,0.1471
5801121007031,1.0,0.1205,0.1129,0.1320,0.1543
5801121004005,1.0,0.1939,0.1733,0.2021,0.2042
5801081003032,1.0,0.1600,0.1301,0.1737,0.1565
5801011004019,1.0,0.1239,0.1061,0.1306,0.1384
5801121001039,1.0,0.1385,0.1128,0.1509,0.1422
5801121001040,1.0,0.1737,0.1598,0.1947,0.1690
5801091003031,1.0,0.1063,0.0928,0.1150,0.1154
5801091004024,1.0,0.1045,0.0942,0.1078,0.1032
5801081005060,1.0,0.1403,0.1212,0.1442,0.1441
5801011003016,1.0,0.0885,0.0785,0.0994,0.0940
5801091006008,1.0,0.0414,0.0319,0.0503,0.0380
5801111004017,1.0,0.1022,0.0825,0.1057,0.1057
5801011005001,1.0,0.3142,0.2551,0.3432,0.3390
5801101005035,1.0,0.0535,0.0514,0.0729,0.0521
5801021003901,1.0,0.0645,0.0564,0.0703,0.0703
5801021003901,1.0,0.1090,0.0950,0.1144,0.1173
5801091004901,1.0,0.0876,0.0792,0.0936,0.0936
5801091004901,1.0,0.1181,0.1091,0.1258,0.1462
5801091004901,1.0,0.1047,0.0955,0.1123,0.1035
5801091004901,1.0,0.1247,0.1021,0.1490,0.1296
5801101002004,1.0,0.0774,0.0733,0.0864,0.0864
5801101001047,1.0,0.1214,0.1109,0.1431,0.1109
5801011005045,1.0,0.1126,0.1027,0.1228,0.1270
5801101003045,1.0,0.1988,0.1685,0.2170,0.2170
5801101003056,1.0,0.0923,0.0840,0.1041,0.1025
5801121002015,1.0,0.1161,0.1125,0.1235,0.1143
5801111003008,1.0,0.1382,0.1254,0.1457,0.1373
5801091004013,1.0,0.0756,0.0723,0.0840,0.0746
5801021003003,1.0,0.0814,0.0735,0.0875,0.0877
5801111001034,1.0,0.1068,0.0999,0.1117,0.1117
5801081005044,1.0,0.1817,0.1660,0.1981,0.1717
5801081003016,1.0,0.1164,0.1028,0.1235,0.1235
5801091005026,1.0,0.0971,0.0869,0.1039,0.1025
5801081003057,1.0,0.1355,0.1247,0.1505,0.1429
5801081004040,1.0,0.1480,0.1335,0.1605,0.1640
5801021003042,1.0,0.1327,0.1301,0.1492,0.1323
5801021003041,1.0,0.1554,0.1397,0.1620,0.1542
5801021001020,1.0,0.1023,0.0937,0.1086,0.1021
5801021006018,1.0,0.0948,0.0896,0.1076,0.0896
5801121007035,1.0,0.1088,0.1000,0.1187,0.1187
5801021005014,1.0,0.0518,0.0459,0.0570,0.0564
5801031001901,1.0,0.1944,0.1809,0.2295,0.2057
5801031001901,1.0,0.1647,0.1341,0.1764,0.1728
5801031001901,1.0,0.1476,0.1280,0.1575,0.1575
5801031001901,1.0,0.1813,0.1573,0.1840,0.1840
5801081003901,1.0,0.1193,0.1085,0.1277,0.1245
5801081003901,1.0,0.1038,0.0853,0.1117,0.1143
5801081003037,1.0,0.0875,0.0826,0.1016,0.0869
5801121001043,1.0,0.1248,0.1173,0.1417,0.1308
5801081005014,1.0,0.1478,0.0775,0.1752,0.0775
5801121004018,1.0,0.0690,0.0640,0.0810,0.0850
5801101001050,1.0,0.1513,0.1412,0.1595,0.1595
5801091001001,1.0,0.1694,0.1632,0.1894,0.1894
5801081003062,1.0,0.1428,0.1317,0.1496,0.1485
5801091001047,1.0,0.1445,0.1371,0.1525,0.1506
5801081005008,1.0,0.1308,0.1165,0.1553,0.1292
5801021004041,1.0,0.1860,0.1780,0.1972,0.1875
5801121009017,1.0,0.1088,0.0938,0.1181,0.1181
5801121004029,1.0,0.1360,0.1094,0.1421,0.1435
5801101002008,1.0,0.0703,0.0599,0.0806,0.0666
5801101003008,1.0,0.2330,0.1839,0.2483,0.2483
5801101003036,1.0,0.1104,0.1092,0.1141,0.1136
5801011002012,1.0,0.1958,0.1599,0.2089,0.2100
5801101003044,1.0,0.1049,0.1011,0.1221,0.1293
5801081004069,1.0,0.1241,0.1186,0.1475,0.1267
5801081005025,1.0,0.2134,0.2067,0.2405,0.2405
5801111003018,1.0,0.1064,0.0935,0.1120,0.1059
5801091005015,1.0,0.0816,0.0808,0.0829,0.0829
5801091001033,1.0,0.1341,0.1281,0.1404,0.1341
5801081004029,1.0,0.1867,0.1475,0.2018,0.2084
5801081003058,1.0,0.2080,0.1748,0.2194,0.2079
5801081003035,1.0,0.1313,0.1237,0.1442,0.1408
5801111004041,1.0,0.1964,0.1788,0.2065,0.2065
5801021004015,1.0,0.1850,0.1655,0.2016,0.2016
5801121007040,1.0,0.0612,0.0561,0.0660,0.0600
5801121004023,1.0,0.1228,0.1079,0.1275,0.1269
5801101001009,1.0,0.1628,0.1501,0.1704,0.1647
5801111004901,1.0,0.1071,0.0929,0.1138,0.1103
5801111004901,1.0,0.1420,0.1185,0.1493,0.1511
5801081004066,1.0,0.1368,0.1279,0.1450,0.1449
5801011003046,1.0,0.1011,0.0954,0.1096,0.1096
5801011003013,1.0,0.0585,0.0534,0.0650,0.0534
5801101002006,1.0,0.0957,0.0881,0.0982,0.0957
5801121002024,1.0,0.1343,0.1242,0.1559,0.1559
5801111001031,1.0,0.1751,0.1478,0.2069,0.2103
5801091007023,1.0,0.1089,0.1023,0.1129,0.1129
5801081004053,1.0,0.1231,0.1093,0.1274,0.1274
5801111004033,1.0,0.1026,0.0863,0.1112,0.1063
5801011001007,1.0,0.1776,0.1673,0.1870,0.1870
5801011001008,1.0,0.1790,0.1745,0.2001,0.1745
5801101003025,1.0,0.1189,0.1098,0.1226,0.1181
5801081003001,1.0,0.0766,0.0707,0.0842,0.0815
5801091006028,1.0,0.1192,0.1023,0.1279,0.1279
5801121003003,1.0,0.1085,0.0987,0.1098,0.1084
5801091002003,1.0,0.0727,0.0664,0.0846,0.0729
5801111001001,1.0,0.1152,0.1104,0.1255,0.1126
5801091002013,1.0,0.0965,0.0890,0.1025,0.1037
