Year,NOMBRE,NDVI,NDVI_p25,NDVI_p75
2016.0,Calicheros,0.3665,0.2889,0.4415
2016.0,Belloto 2000,0.1389,0.1288,0.1452
2016.0,Belloto Centro,0.1588,0.1479,0.1651
2016.0,Bernando Ohiggins,0.1758,0.1555,0.1877
2016.0,Cruz del Sur,0.1558,0.1370,0.1616
2016.0,82,0.2001,0.1720,0.2119
2016.0,Belloto Norte,0.2045,0.1823,0.2134
2016.0,E.E.U.U,0.2002,0.1608,0.2863
2016.0,Lincoyan,0.1969,0.1785,0.2073
2016.0,Los Colonos,0.3050,0.2488,0.3895
2016.0,Patricio Lynch,0.2716,0.2253,0.3482
2016.0,Santa Marta,0.2687,0.2156,0.3495
2016.0,Cantera,0.1552,0.1379,0.1646
2016.0,Decimo Sector,0.1765,0.1526,0.1940
2016.0,Estero Viejo,0.1635,0.1450,0.1673
2016.0,Matilde,0.2322,0.1924,0.2557
2016.0,San Cristobal,0.1967,0.1848,0.2184
2016.0,Tierras Rojas,0.1677,0.1538,0.1873
2016.0,Decimo Sector,0.2380,0.1761,0.2691
2016.0,Matilde,0.2236,0.1705,0.3216
2016.0,Los Pinos,0.2946,0.2480,0.3195
2016.0,Marga Marga,0.2735,0.2299,0.3003
2016.0,60,0.2308,0.1947,0.3013
2016.0,Castillo Blanco,0.1864,0.1696,0.1942
2016.0,El Tranque,0.2327,0.2026,0.2455
2016.0,Jose Miguel Carrera,0.1758,0.1564,0.1960
2016.0,Las Rosas,0.1838,0.1753,0.1859
2016.0,Piloto Pardo,0.2073,0.1962,0.2201
2016.0,Porvenir,0.3709,0.3062,0.3927
2016.0,Textil Viña,0.1577,0.1463,0.1897
2016.0,21 de Mayo,0.2381,0.2170,0.2548
2016.0,Barros Arana,0.2246,0.2056,0.2260
2016.0,La Granja,0.2544,0.2145,0.3013
2016.0,Las Viñas,0.2568,0.2292,0.2805
2016.0,Los Estanques,0.2218,0.1963,0.2619
2016.0,Mena,0.2210,0.1850,0.2327
2016.0,Pedro Montt,0.2030,0.1752,0.2120
2016.0,Victoria Oriente,0.2346,0.1838,0.2585
2016.0,Victoria Poniente,0.2309,0.2107,0.2453
2016.0,Villa Olimpica,0.1863,0.1622,0.2734
2016.0,Araya,0.2133,0.2001,0.2196
2016.0,Arturo Prat,0.1774,0.1771,0.1861
2016.0,Blanco,0.1946,0.1806,0.2062
2016.0,Centro,0.1660,0.1598,0.1779
2016.0,Colina de Oro,0.3773,0.3166,0.3990
2016.0,El Esfuerzo,0.2167,0.1926,0.2202
2016.0,Emparte,0.1315,0.1226,0.1379
2016.0,Esmeralda,0.2092,0.1965,0.2222
2016.0,Liceo,0.1906,0.1743,0.1991
2016.0,Poblacion Esperanza,0.2265,0.2010,0.2379
2016.0,Poblacion Ferroviaria,0.2173,0.1969,0.2305
2016.0,R. Sotomayor,0.2037,0.1758,0.2121
2016.0,San Cristobal2,0.2449,0.1964,0.3317
2016.0,Sol del Pacifico,0.1966,0.1789,0.2310
2016.0,Soublete (Francisco Bilbao),0.2028,0.1818,0.2069
2016.0,Thompson,0.1552,0.1423,0.1664
2016.0,M. Mena,0.2004,0.1784,0.2251
2016.0,Manuel Rodriguez,0.2042,0.1737,0.2546
2016.0,No Organizada,0.3220,0.2784,0.3915
2016.0,Pompeya Norte,0.2417,0.2100,0.2593
2016.0,Pompeya Sur,0.2439,0.2140,0.2797
2016.0,Valencia Alto,0.1923,0.1799,0.2125
2016.0,Costa Sol,0.1745,0.1180,0.2335
2016.0,California,0.1575,0.1535,0.1609
2016.0,Camilo Henriquez,0.2278,0.2065,0.2355
2016.0,El Bosque,0.4017,0.3763,0.4530
2016.0,El Sol,0.3103,0.2733,0.3202
2016.0,General Baquedano,0.2127,0.1882,0.2224
2016.0,Infante,0.2971,0.2430,0.3151
2016.0,Lo Gamboa,0.1677,0.1491,0.1776
2016.0,Los Espinos,0.2953,0.2779,0.3003
2016.0,Retiro,0.2896,0.2509,0.3018
2016.0,Viñas del Sol,0.2709,0.2621,0.2825
2016.0,Buenos Aires,0.2119,0.1909,0.2311
2016.0,Casa de Valencia,0.2866,0.2603,0.2873
2016.0,Hevia,0.1988,0.1909,0.2083
2016.0,Humbolt,0.2632,0.2480,0.2767
2016.0,Phillips,0.2178,0.2036,0.2493
2016.0,Poblacion Argentina,0.2929,0.2542,0.3259
2016.0,Poblacion Canal Chacao,0.3237,0.2879,0.3779
2016.0,San Gregorio,0.1832,0.1727,0.1939
2016.0,Valencia Bajo,0.2297,0.2095,0.2543
2016.0,Villa Paso Hondo,0.3321,0.2854,0.3540
2017.0,Calicheros,0.3511,0.2453,0.4479
2017.0,Belloto 2000,0.1393,0.1133,0.1612
2017.0,Belloto Centro,0.1508,0.1242,0.1734
2017.0,Bernando Ohiggins,0.1689,0.1375,0.1988
2017.0,Cruz del Sur,0.1528,0.1230,0.1711
2017.0,82,0.2065,0.1442,0.2785
2017.0,Belloto Norte,0.1891,0.1628,0.2119
2017.0,E.E.U.U,0.2158,0.1497,0.2993
2017.0,Lincoyan,0.1885,0.1564,0.2105
2017.0,Los Colonos,0.2941,0.2078,0.3873
2017.0,Patricio Lynch,0.2735,0.2070,0.3458
2017.0,Santa Marta,0.2645,0.1901,0.3589
2017.0,Cantera,0.1548,0.1184,0.2070
2017.0,Decimo Sector,0.1778,0.1329,0.2527
2017.0,Estero Viejo,0.1604,0.1209,0.2040
2017.0,Matilde,0.2328,0.1611,0.3435
2017.0,San Cristobal,0.2073,0.1614,0.2609
