Year,Month,NO2_median
2019.0,1.0,10.512351
2019.0,2.0,10.796054
2019.0,3.0,11.083376
2019.0,4.0,12.333433
2019.0,5.0,13.615644
2019.0,6.0,14.075845
2019.0,7.0,14.779241
2019.0,8.0,13.661356
2019.0,9.0,12.295321
2019.0,10.0,11.090189
2019.0,11.0,11.061522
2019.0,12.0,10.676794
2020.0,1.0,10.696147
2020.0,2.0,10.855331
2020.0,3.0,11.057492
2020.0,4.0,12.079408
2020.0,5.0,12.829138
2020.0,6.0,14.511652
2020.0,7.0,12.888914
2020.0,8.0,12.553499
2020.0,9.0,11.877209
2020.0,10.0,11.395324
2020.0,11.0,10.707523
2020.0,12.0,10.637529
2021.0,1.0,10.587520
2021.0,2.0,10.798881
2021.0,3.0,11.030745
2021.0,4.0,11.951655
2021.0,5.0,14.025654
2021.0,6.0,14.621182
2021.0,7.0,16.203281
2021.0,8.0,14.030423
2021.0,9.0,12.357149
2021.0,10.0,11.469760
2021.0,11.0,10.929372
2021.0,12.0,10.640794
2022.0,1.0,10.439797
2022.0,2.0,10.741558
2022.0,3.0,11.263070
2022.0,4.0,12.586616
2022.0,5.0,15.342664
2022.0,6.0,14.948324
2022.0,7.0,14.421135
2022.0,8.0,13.262148
2022.0,9.0,12.371750
2022.0,10.0,11.450657
2022.0,11.0,10.738252
2022.0,12.0,10.503005
2023.0,1.0,10.420873
2023.0,2.0,10.876381
2023.0,3.0,10.816515
2023.0,4.0,12.048388
2023.0,5.0,14.127954
2023.0,6.0,14.024720
2023.0,7.0,13.871709
2023.0,8.0,13.096754
2023.0,9.0,11.812931
2023.0,10.0,11.584871
2023.0,11.0,10.555477
2023.0,12.0,10.252327
2024.0,1.0,10.636762
2024.0,2.0,10.786432
2024.0,3.0,10.821245
2024.0,4.0,11.817471
2024.0,5.0,13.154906
2024.0,6.0,13.166669
2024.0,7.0,14.046783
2024.0,8.0,12.704418
2024.0,9.0,12.090398
2024.0,10.0,11.436600
2024.0,11.0,10.492357
2024.0,12.0,10.331186
2025.0,1.0,10.626804
2025.0,2.0,10.508887
2025.0,3.0,10.686911
2025.0,4.0,11.822584
2025.0,5.0,13.994065
2025.0,6.0,14.473900
2025.0,7.0,14.452681
2025.0,8.0,13.162931
2025.0,9.0,12.131614
2025.0,10.0,11.732982
2025.0,11.0,10.904389
2025.0,12.0,10.658037
2026.0,1.0,10.762843
2026.0,2.0,10.430894
2026.0,3.0,10.879182
2026.0,4.0,11.901404
