Month,NO2_median,NO2_p25,NO2_p75,anio_actual
1.0,10.607162,10.476074,10.666455,10.762843
2.0,10.791243,10.625222,10.827106,10.430894
3.0,10.954963,10.818880,11.070434,10.879182
4.0,12.000022,11.861994,12.206421,11.901404
5.0,13.994065,13.154906,14.127954,-9999.000000
6.0,14.473900,14.024720,14.621182,-9999.000000
7.0,14.421135,13.871709,14.779241,-9999.000000
8.0,13.162931,12.704418,13.661356,-9999.000000
9.0,12.131614,11.877209,12.357149,-9999.000000
10.0,11.450657,11.395324,11.584871,-9999.000000
11.0,10.738252,10.555477,10.929372,-9999.000000
12.0,10.637529,10.331186,10.658037,-9999.000000
