NOMBRE,Month,NO2_median,NO2_p25,NO2_p75,anio_actual
Calicheros,1.0,11.231780,11.167938,11.350476,11.244992
Belloto 2000,1.0,11.662977,11.467576,11.797751,11.735489
Belloto Centro,1.0,11.704527,11.483693,11.818881,11.777750
Bernando Ohiggins,1.0,11.571321,11.389571,11.656249,11.623936
Cruz del Sur,1.0,11.571321,11.419386,11.727269,11.735103
82,1.0,11.667492,11.556127,11.785487,11.636166
Belloto Norte,1.0,11.795633,11.572253,12.146724,11.601480
E.E.U.U,1.0,11.795633,11.572253,12.075749,11.601480
Lincoyan,1.0,11.667023,11.410495,11.929630,11.735489
Los Colonos,1.0,11.682059,11.604069,11.968900,11.636166
Patricio Lynch,1.0,11.837291,11.638326,12.091985,11.601480
Santa Marta,1.0,11.861848,11.656643,12.102291,11.601480
Cantera,1.0,11.458665,11.289755,11.529059,11.511403
Decimo Sector,1.0,11.472181,11.289755,11.578847,11.595581
Estero Viejo,1.0,11.571321,11.389571,11.656249,11.623936
Matilde,1.0,11.386716,11.274359,11.472035,11.433096
San Cristobal,1.0,11.498876,11.289755,11.578847,11.595581
Tierras Rojas,1.0,11.489132,11.408810,11.562845,11.511403
Decimo Sector,1.0,11.472181,11.289755,11.578847,11.595581
Matilde,1.0,11.386716,11.274359,11.472035,11.433096
Los Pinos,1.0,11.284639,11.139137,11.446854,11.223067
Marga Marga,1.0,11.278933,11.009876,11.437806,11.223067
60,1.0,11.402189,11.274359,11.488680,11.510498
Castillo Blanco,1.0,11.489132,11.408810,11.562845,11.511403
El Tranque,1.0,11.400940,11.258837,11.543463,11.306317
Jose Miguel Carrera,1.0,11.641238,11.549665,11.775842,11.545649
Las Rosas,1.0,11.400940,11.258837,11.543463,11.306317
Piloto Pardo,1.0,11.400940,11.196637,11.542079,11.306317
Porvenir,1.0,11.357289,11.102210,11.474214,11.432599
Textil Viña,1.0,11.334731,11.139753,11.471850,11.223067
21 de Mayo,1.0,11.538353,11.478766,11.628588,11.621906
Barros Arana,1.0,11.565696,11.477256,11.658166,11.585938
La Granja,1.0,11.450940,11.286447,11.577063,11.388729
Las Viñas,1.0,11.450940,11.286447,11.577063,11.388729
Los Estanques,1.0,11.450940,11.286447,11.577063,11.388729
Mena,1.0,11.535678,11.350770,11.657884,11.537549
Pedro Montt,1.0,11.562722,11.461611,11.644262,11.585938
Victoria Oriente,1.0,11.535678,11.350770,11.657884,11.537549
Victoria Poniente,1.0,11.535678,11.350770,11.657884,11.537549
Villa Olimpica,1.0,11.450940,11.286447,11.577063,11.388729
Araya,1.0,11.502634,11.329213,11.546281,11.323407
Arturo Prat,1.0,11.565696,11.477256,11.658166,11.585938
Blanco,1.0,11.606841,11.476075,11.698133,11.608359
Centro,1.0,11.565696,11.477256,11.658166,11.585938
Colina de Oro,1.0,11.342966,11.155885,11.425013,11.244992
El Esfuerzo,1.0,11.400940,11.258837,11.543463,11.306317
Emparte,1.0,11.565696,11.477256,11.658166,11.585938
Esmeralda,1.0,11.538224,11.400451,11.622207,11.465883
Liceo,1.0,11.585854,11.464989,11.680406,11.597149
Poblacion Esperanza,1.0,11.478886,11.329213,11.546281,11.323407
Poblacion Ferroviaria,1.0,11.641238,11.549665,11.775842,11.545649
R. Sotomayor,1.0,11.478886,11.329213,11.546281,11.323407
San Cristobal2,1.0,11.342966,11.144923,11.445270,11.223067
Sol del Pacifico,1.0,11.334731,11.139753,11.471850,11.223067
Soublete (Francisco Bilbao),1.0,11.606841,11.476075,11.698133,11.608359
Thompson,1.0,11.606841,11.476075,11.698133,11.608359
M. Mena,1.0,11.415849,11.255904,11.493128,11.199045
Manuel Rodriguez,1.0,11.415849,11.255904,11.493128,11.199045
No Organizada,1.0,11.348196,11.280168,11.396803,11.313558
Pompeya Norte,1.0,11.415849,11.255904,11.493128,11.199045
Pompeya Sur,1.0,11.415849,11.255904,11.493128,11.199045
Valencia Alto,1.0,11.457851,11.324470,11.569614,11.490408
Costa Sol,1.0,11.352220,11.257482,11.416723,11.337019
California,1.0,11.682059,11.604069,11.968900,11.636166
Camilo Henriquez,1.0,11.622402,11.562920,11.845962,11.590752
El Bosque,1.0,11.618309,11.562920,11.837952,11.590752
El Sol,1.0,11.622402,11.562920,11.845962,11.590752
General Baquedano,1.0,11.606841,11.476075,11.698133,11.608359
Infante,1.0,11.565696,11.477256,11.658166,11.585938
Lo Gamboa,1.0,11.641238,11.549665,11.775842,11.545649
Los Espinos,1.0,11.622402,11.562920,11.845962,11.590752
Retiro,1.0,11.658516,11.547304,11.782982,11.648053
Viñas del Sol,1.0,11.682059,11.604069,11.968900,11.636166
Buenos Aires,1.0,11.538353,11.478766,11.628588,11.621906
Casa de Valencia,1.0,11.459271,11.318252,11.521240,11.490408
Hevia,1.0,11.457851,11.324470,11.569614,11.490408
Humbolt,1.0,11.538353,11.478766,11.628588,11.621906
Phillips,1.0,11.482588,11.352532,11.569614,11.490408
Poblacion Argentina,1.0,11.354840,11.195259,11.498183,11.490408
Poblacion Canal Chacao,1.0,11.302877,11.240265,11.456605,11.490408
San Gregorio,1.0,11.354840,11.195259,11.498183,11.490408
Valencia Bajo,1.0,11.457851,11.324470,11.569614,11.490408
Villa Paso Hondo,1.0,11.455526,11.294211,11.500970,11.490408
Calicheros,2.0,11.597366,11.519323,12.069277,11.654894
Belloto 2000,2.0,12.092893,11.873004,12.395309,11.924110
Belloto Centro,2.0,12.153294,11.873004,12.395309,12.044913
Bernando Ohiggins,2.0,12.110250,11.906796,12.362687,11.924110
Cruz del Sur,2.0,12.077302,11.887981,12.449481,11.886481
82,2.0,11.966805,11.871503,12.402024,11.886481
Belloto Norte,2.0,12.094396,11.982273,12.465883,12.015893
E.E.U.U,2.0,12.159185,11.926495,12.465883,12.015893
Lincoyan,2.0,12.014117,11.887981,12.495596,11.886481
Los Colonos,2.0,12.017412,11.971895,12.391694,12.044913
Patricio Lynch,2.0,12.096915,11.996783,12.395310,12.044913
Santa Marta,2.0,12.128014,11.941005,12.252780,12.044913
Cantera,2.0,11.929761,11.657672,12.385482,11.611987
Decimo Sector,2.0,12.015236,11.587279,12.288764,11.611987
Estero Viejo,2.0,12.110250,11.906796,12.362687,11.924110
Matilde,2.0,11.897030,11.640184,12.385482,11.515866
San Cristobal,2.0,12.015236,11.614443,12.288764,11.611987
Tierras Rojas,2.0,11.948048,11.832458,12.429465,11.758056
Decimo Sector,2.0,12.015236,11.587279,12.288764,11.611987
Matilde,2.0,11.897030,11.640184,12.385482,11.515866
Los Pinos,2.0,11.601792,11.380745,12.008107,11.164705
Marga Marga,2.0,11.593664,11.305631,11.963001,11.164705
60,2.0,11.919343,11.569791,12.288764,11.515866
Castillo Blanco,2.0,11.948048,11.832458,12.429465,11.758056
El Tranque,2.0,11.959881,11.755408,12.313921,11.710682
Jose Miguel Carrera,2.0,11.959881,11.816276,12.403732,11.758056
Las Rosas,2.0,11.959881,11.755408,12.313921,11.710682
Piloto Pardo,2.0,11.930839,11.755408,12.313834,11.710682
Porvenir,2.0,11.775619,11.585237,12.128144,11.515866
Textil Viña,2.0,11.747158,11.553118,12.113892,11.167300
21 de Mayo,2.0,11.800523,11.528539,12.257890,11.710682
Barros Arana,2.0,11.831901,11.657895,12.331754,11.710682
La Granja,2.0,11.609117,11.460019,12.311606,11.710682
Las Viñas,2.0,11.609117,11.460019,12.311606,11.710682
Los Estanques,2.0,11.609117,11.460019,12.311606,11.710682
Mena,2.0,11.625260,11.505390,12.240254,11.710682
Pedro Montt,2.0,11.800523,11.528539,12.317876,11.710682
Victoria Oriente,2.0,11.625260,11.505390,12.240254,11.710682
Victoria Poniente,2.0,11.625260,11.505390,12.240254,11.710682
Villa Olimpica,2.0,11.609117,11.460019,12.311606,11.710682
Araya,2.0,11.959881,11.755408,12.292510,11.710682
Arturo Prat,2.0,11.831901,11.657895,12.331754,11.710682
Blanco,2.0,11.827351,11.736134,12.396692,11.710682
Centro,2.0,11.831901,11.657895,12.331754,11.710682
Colina de Oro,2.0,11.662729,11.520011,12.098050,11.630711
El Esfuerzo,2.0,11.959881,11.755408,12.313921,11.710682
Emparte,2.0,11.831901,11.657895,12.331754,11.710682
Esmeralda,2.0,11.814786,11.659590,12.332804,11.710682
Liceo,2.0,11.827351,11.736134,12.377443,11.710682
Poblacion Esperanza,2.0,11.803598,11.633215,12.242477,11.710682
Poblacion Ferroviaria,2.0,11.959881,11.816276,12.403732,11.758056
R. Sotomayor,2.0,11.803598,11.633215,12.242477,11.710682
San Cristobal2,2.0,11.670866,11.520011,12.110279,11.630711
Sol del Pacifico,2.0,11.747158,11.553118,12.113892,11.167300
Soublete (Francisco Bilbao),2.0,11.827351,11.736134,12.396692,11.710682
Thompson,2.0,11.827351,11.736134,12.396692,11.710682
M. Mena,2.0,11.643332,11.519851,12.016243,11.544644
