Year,Month,SO2
2018.0,11.0,106.658354
2018.0,12.0,163.916993
2019.0,1.0,128.843887
2019.0,2.0,157.833003
2019.0,3.0,137.776623
2019.0,4.0,484.091805
2019.0,5.0,619.990342
2019.0,6.0,1404.369826
2019.0,7.0,1012.794415
2019.0,8.0,752.131264
2019.0,9.0,360.539242
2019.0,10.0,262.373305
2019.0,11.0,214.526975
2019.0,12.0,149.714312
2020.0,1.0,146.810511
2020.0,2.0,166.097362
2020.0,3.0,132.374283
2020.0,4.0,517.754165
2020.0,5.0,772.974036
2020.0,6.0,1446.415690
2020.0,7.0,1227.210554
2020.0,8.0,931.633843
2020.0,9.0,476.705207
2020.0,10.0,180.299993
2020.0,11.0,174.402572
2020.0,12.0,150.951518
2021.0,1.0,110.614050
2021.0,2.0,168.736558
2021.0,3.0,93.176245
2021.0,4.0,368.777065
2021.0,5.0,606.652609
2021.0,6.0,1395.078043
2021.0,7.0,1103.854565
2021.0,8.0,763.912087
2021.0,9.0,475.104680
2021.0,10.0,154.920200
2021.0,11.0,126.083678
2021.0,12.0,130.795599
2022.0,1.0,84.883561
2022.0,2.0,105.754397
2022.0,3.0,114.931594
2022.0,4.0,427.434898
2022.0,5.0,879.341471
2022.0,6.0,1739.219278
2022.0,7.0,1108.865236
2022.0,8.0,938.711203
2022.0,9.0,534.029545
2022.0,10.0,146.017445
2022.0,11.0,167.899757
2022.0,12.0,109.123160
2023.0,1.0,119.138198
2023.0,2.0,111.122987
2023.0,3.0,83.284218
2023.0,4.0,401.302166
2023.0,5.0,795.399544
2023.0,6.0,1690.522397
2023.0,7.0,1127.502814
2023.0,8.0,746.585150
2023.0,9.0,365.551404
2023.0,10.0,163.727664
2023.0,11.0,197.032419
2023.0,12.0,201.542121
2024.0,1.0,145.582586
2024.0,2.0,145.507846
2024.0,3.0,150.784480
2024.0,4.0,433.997128
2024.0,5.0,662.949346
2024.0,6.0,1758.127205
2024.0,7.0,1077.233118
2024.0,8.0,979.014297
2024.0,9.0,590.697225
2024.0,10.0,204.988562
2024.0,11.0,85.365644
2024.0,12.0,60.874328
2025.0,1.0,34.398853
2025.0,2.0,29.185632
2025.0,3.0,58.893486
2025.0,4.0,159.683971
2025.0,5.0,489.680191
2025.0,6.0,1258.288665
2025.0,7.0,965.347846
2025.0,8.0,404.524253
2025.0,9.0,187.214823
2025.0,10.0,78.697226
2025.0,11.0,32.190439
2025.0,12.0,19.199559
2026.0,1.0,29.853621
2026.0,2.0,50.807877
2026.0,3.0,59.972374
2026.0,4.0,132.200351
