Month,SO2,SO2_p25,SO2_p75,anio_actual
1.0,114.876124,59.641207,137.213236,29.853621
2.0,128.315416,78.281137,161.965182,50.807877
3.0,104.053920,71.628296,135.075453,59.972374
4.0,414.368532,264.230518,459.044467,132.200351
5.0,662.949346,606.652609,795.399544,-9999.000000
6.0,1446.415690,1395.078043,1739.219278,-9999.000000
7.0,1103.854565,1012.794415,1127.502814,-9999.000000
8.0,763.912087,746.585150,938.711203,-9999.000000
9.0,475.104680,360.539242,534.029545,-9999.000000
10.0,163.727664,146.017445,204.988562,-9999.000000
11.0,146.991717,96.011999,185.717495,-9999.000000
12.0,140.254955,84.998744,157.434256,-9999.000000
