Month,SO2,SO2_p25,SO2_p75,anio_actual
1,101.2469041,80.58411751,123.5796534,17.441972
2,108.5487692,77.24378025,130.2475098,18.699877
3,97.14385755,83.58945163,107.4845116,16.735134
4,423.037233,363.4138829,452.7580747,72.877327
5,905.17579,822.6458767,992.0552384,-9999.000000
6,2008.745425,1717.83109,2210.981924,-9999.000000
7,1375.902321,1092.351562,1464.224333,-9999.000000
8,707.7914288,633.5550641,771.0328993,-9999.000000
9,440.6788864,387.7913319,503.024514,-9999.000000
10,142.6528079,121.5714455,177.7370456,-9999.000000
11,167.0033152,137.0845532,188.6321681,-9999.000000
12,115.0715543,99.9857057,136.259176,-9999.000000
