NOMBRE,Month,SO2,SO2_p25,SO2_p75,anio_actual
Calicheros,1.0,61.390737,-15.451403,125.791525,-93.129012
Belloto 2000,1.0,62.680754,35.264782,80.595132,13.791051
Belloto Centro,1.0,40.269568,24.066325,69.124701,24.183791
Bernando Ohiggins,1.0,52.784914,25.387750,116.562223,16.341464
Cruz del Sur,1.0,33.409611,-7.312718,67.181547,22.239712
82,1.0,79.095809,42.124061,92.775256,1.279118
Belloto Norte,1.0,57.704972,46.023439,115.789823,49.868399
E.E.U.U,1.0,91.394653,55.674124,121.527688,70.862870
Lincoyan,1.0,28.052841,4.194010,57.667474,27.906981
Los Colonos,1.0,53.909172,12.589481,115.824391,13.769329
Patricio Lynch,1.0,56.425423,37.756451,105.992372,55.872727
Santa Marta,1.0,83.494764,45.032122,118.903676,59.857709
Cantera,1.0,84.697778,50.374493,138.709347,17.028122
Decimo Sector,1.0,51.834833,26.310103,107.339157,24.066367
Estero Viejo,1.0,37.041953,15.452729,80.008269,19.655697
Matilde,1.0,110.952621,60.472889,157.622311,4.281153
San Cristobal,1.0,35.637630,11.812762,85.201228,21.717645
Tierras Rojas,1.0,54.799581,30.590903,146.314009,16.341464
Decimo Sector,1.0,74.011392,32.309470,117.602373,23.250960
Matilde,1.0,148.411060,63.555077,156.881699,16.341464
Los Pinos,1.0,98.233631,37.133113,159.123694,-97.699378
Marga Marga,1.0,119.029116,43.593103,155.020321,-65.065968
60,1.0,98.716074,33.424233,121.693600,16.818943
Castillo Blanco,1.0,80.003126,15.763400,163.883291,-3.386811
El Tranque,1.0,112.692098,-16.891936,142.364985,-62.227849
Jose Miguel Carrera,1.0,82.199124,37.713735,141.168276,-16.545233
Las Rosas,1.0,113.911817,-19.076163,142.412853,-64.055154
Piloto Pardo,1.0,113.957579,4.484200,145.437464,-44.243724
Porvenir,1.0,127.454700,44.648576,148.978153,-41.710329
Textil Viña,1.0,115.199774,-5.326757,154.437995,-75.422825
21 de Mayo,1.0,69.881343,3.249666,131.018673,-14.669253
Barros Arana,1.0,66.912303,-2.680492,117.615287,-26.975857
La Granja,1.0,105.437125,34.990055,143.250074,-1.918922
Las Viñas,1.0,110.068971,30.495155,139.527393,-6.737327
Los Estanques,1.0,105.437125,34.990055,143.250074,-1.918922
Mena,1.0,116.798576,10.306474,134.960186,-28.379019
Pedro Montt,1.0,82.849009,13.479472,129.695241,-12.082853
Victoria Oriente,1.0,109.941775,6.704200,130.578741,-43.892349
Victoria Poniente,1.0,109.720041,6.654543,130.624405,-44.162694
Villa Olimpica,1.0,77.207240,16.328742,133.497164,-39.400601
Araya,1.0,120.797589,15.520552,141.449406,-52.593678
Arturo Prat,1.0,67.038899,-3.092719,117.542160,-26.964709
Blanco,1.0,97.272946,22.138722,148.237537,-49.742124
Centro,1.0,58.743987,0.677922,119.729158,-27.608781
Colina de Oro,1.0,110.920477,10.459265,163.344232,-113.826990
El Esfuerzo,1.0,117.610888,-11.557081,140.989925,-62.464817
Emparte,1.0,70.083757,-15.871739,116.154839,-26.619120
Esmeralda,1.0,106.032196,35.367145,167.290264,-49.742124
Liceo,1.0,101.388715,31.319229,164.379332,-47.348959
Poblacion Esperanza,1.0,115.212145,47.255535,161.192165,-50.025551
Poblacion Ferroviaria,1.0,82.199124,37.713735,141.168276,-16.545233
R. Sotomayor,1.0,114.905469,46.064831,160.424456,-48.428686
San Cristobal2,1.0,117.560723,42.868866,172.144413,-87.535697
Sol del Pacifico,1.0,116.266019,9.225587,152.386077,-84.844013
Soublete (Francisco Bilbao),1.0,97.975943,22.898478,151.680476,-48.122764
Thompson,1.0,91.436798,21.132314,148.197765,-47.282230
M. Mena,1.0,59.171763,38.855834,127.009071,52.381559
Manuel Rodriguez,1.0,73.523256,34.052107,120.643515,81.194060
No Organizada,1.0,68.342900,35.800531,102.872675,53.241826
Pompeya Norte,1.0,77.203126,32.820382,119.011321,88.581880
Pompeya Sur,1.0,76.993591,33.633492,121.532987,87.126849
Valencia Alto,1.0,50.893850,-0.018879,121.090326,41.960086
Costa Sol,1.0,65.217127,30.944981,97.164389,74.160706
California,1.0,48.985770,0.853535,145.621264,-5.138828
Camilo Henriquez,1.0,39.309216,20.510247,132.388024,-6.387557
El Bosque,1.0,23.452680,0.762509,117.661283,-22.031972
El Sol,1.0,54.209331,20.744700,136.802449,-17.948761
General Baquedano,1.0,93.222840,22.248025,148.110077,-46.066099
Infante,1.0,45.133571,3.846184,115.957015,-22.124097
Lo Gamboa,1.0,88.229795,34.375014,132.327055,-16.167731
